"barcode","region","pseudotime","state","pxl_row_in_fullres","pxl_col_in_fullres"
"s_008um_00363_00730-1","mature_9",3.77803655899822,1,29690.2615084221,19762.0858060177
"s_008um_00108_00412-1","mature_22",5.88302991094705,1,20417.2611640966,12257.4381422295
"s_008um_00098_00645-1","mature_12",0.244036891311836,3,27237.705419258,11995.6438582558
"s_008um_00178_00320-1","mature_27",1.69328416828458,3,17715.4725741929,14293.844339587
"s_008um_00143_00731-1","mature_12",10.4586591746648,2,29748.646782157,13323.9668201931
"s_008um_00301_00814-1","mature_1",0.491015111068261,3,32156.7917804136,17958.7890432541
"s_008um_00353_00665-1","mature_10",4.21777635115871,1,27789.3038743721,19460.8515030757
"s_008um_00214_00720-1","mature_25",2.95378202732693,2,29417.3230869431,15400.3257999077
"s_008um_00066_00681-1","mature_14",0.300976622039537,3,28295.5259901122,11063.9216052086
"s_008um_00216_00698-1","mature_25",0.296896183672002,3,28773.2056559807,15455.9447743223
"s_008um_00200_00706-1","mature_26",5.30136027741536,2,29009.4512767866,14988.7642658101
"s_008um_00205_00760-1","mature_25",4.01268806795208,2,30589.1532262449,15142.2344800453
"s_008um_00112_00772-1","mature_13",2.9870033380874,2,30952.6593682713,12422.1773341172
"s_008um_00161_00777-1","mature_12",0.316812049356843,3,31092.5004950549,13856.8273171337
"s_008um_00073_00600-1","mature_12",0.221230927446559,3,25924.0214562886,11258.048117655
"s_008um_00146_00805-1","mature_12",9.94838148113433,2,31913.9332059874,13421.5591943268
"s_008um_00296_00784-1","mature_8",9.4185187160361,2,31279.4830258079,17808.499894249
"s_008um_00369_00678-1","mature_10",2.9139114966464,2,28167.6443759449,19930.8019084289
"s_008um_00074_00508-1","mature_16",0.306994813079306,3,23231.3615842017,11275.1252502663
"s_008um_00046_00516-1","mature_16",4.03242919811614,2,23469.1928018357,10456.7486099774
"s_008um_00077_00594-1","mature_12",0.2431020345845,3,25747.893758313,11374.3150344183
"s_008um_00474_00830-1","mature_3",9.78422380349955,2,32602.1193537343,23023.623620215
"s_008um_00268_00724-1","mature_11",6.54222568092286,2,29527.2401273902,16981.1553651712
"s_008um_00198_00699-1","mature_26",10.2956823285911,2,28804.8534058666,14929.3080172276
"s_008um_00345_00670-1","mature_10",0.554748262783347,3,27936.6917385225,19227.3956373963
"s_008um_00061_00562-1","mature_16",0.177616231525811,3,24813.4783012231,10901.8276091327
"s_008um_00268_00710-1","mature_11",3.52127349672295,1,29117.5169652364,16979.303893078
"s_008um_00093_00379-1","mature_22",6.07320708292596,1,19453.4302471094,11814.0829807871
"s_008um_00148_00472-1","mature_18",0.328984976295512,3,22167.9908544113,13436.0025380481
"s_008um_00172_00358-1","mature_24",4.10885648349916,2,18828.4083283405,14123.281320437
"s_008um_00451_00832-1","mature_2",0.506184453232523,3,32663.6976747469,22350.8143474917
"s_008um_00119_00484-1","mature_18",0.296958579476306,3,22523.0192938922,12588.8941923725
"s_008um_00207_00757-1","mature_25",0.141463762117729,3,30501.0906331168,15200.3672748357
"s_008um_00314_00707-1","mature_9",0.564652647229915,3,29023.6320632766,18325.0832279676
"s_008um_00331_00696-1","mature_9",2.23775872341073,3,28699.4577633383,18821.1276439683
"s_008um_00224_00732-1","mature_25",0.237804265092938,3,29767.1914066038,15694.5622923018
"s_008um_00057_00510-1","mature_16",0.217002452569481,3,23292.1398183635,10777.8753448554
"s_008um_00118_00677-1","mature_12",0.324454775818401,3,28171.5818294398,12585.1874946096
"s_008um_00167_00676-1","mature_12",1.80072434310825,3,28135.8336566747,14019.0479530498
"s_008um_00088_00582-1","mature_16",0.174265066033618,3,25395.2418610959,11694.6452036118
"s_008um_00374_00723-1","mature_9",8.16126800611321,2,29483.9452042461,20083.0698780181
"s_008um_00257_00703-1","mature_11",6.5313125494567,2,28914.1107424168,16656.4655321341
"s_008um_00424_00824-1","mature_2",1.446880502628,3,32433.1516446762,21559.6264312351
"s_008um_00432_00778-1","mature_5",0.279064409115304,3,31085.8784431712,21787.6653959976
"s_008um_00315_00813-1","mature_1",8.55768028809734,2,32125.6714253476,18368.3601411815
"s_008um_00271_00832-1","mature_1",3.30106879397481,1,32687.5484788665,17083.2319081126
"s_008um_00058_00535-1","mature_16",0.223642425050672,3,24023.6753506845,10810.4534779171
"s_008um_00143_00498-1","mature_18",2.95651841455274,2,22929.5842555502,13293.1179556603
"s_008um_00313_00821-1","mature_1",1.33768917488659,3,32360.0614846933,18310.8886770593
"s_008um_00044_00631-1","mature_15",0.207199516561372,3,26835.1161371662,10413.4568429988
"s_008um_00429_00827-1","mature_2",4.30236279829289,1,32520.2855391376,21706.343435971
"s_008um_00306_00837-1","mature_1",1.27707718898505,3,32829.2388212102,18108.1523433839
"s_008um_00161_00803-1","mature_12",2.97272048836851,2,31853.4144052824,13860.2690710585
"s_008um_00185_00704-1","mature_26",3.04748310366219,1,28952.9039977304,14549.5248490335
"s_008um_00089_00540-1","mature_16",0.29135956818507,3,24165.9138850608,11718.347156619
